,price,year,kms,fuel,city,tags,starting_emi,company,car_name,cc
0,476000.0,2016,79710,Petrol,Delhi,No Tag,7904,Maruti Suzuki,Baleno  ,1.2
1,560000.0,2014,67000,Petrol,Delhi,Home Test Drive,9299,Hyundai,Verna  ,1.6
2,670000.0,2017,78184,Diesel,Delhi,Home Test Drive,11126,Maruti Suzuki,Vitara Brezza,
3,1790000.0,2019,42046,Petrol,Gurgaon,No Tag,,MG,Hector  ,1.5
4,315000.0,2015,67738,CNG,Delhi,Great Price,5231,Maruti Suzuki,Wagon R,1.0
5,3500000.0,2019,42500,Diesel,Delhi,No Tag,58123,BMW,3 Series,
6,3025000.0,2022,10000,Diesel,Delhi,No Tag,50235,Toyota,Innova  ,
7,4740000.0,2020,33000,Diesel,Delhi,Home Test Drive,78715,Volvo,S90  ,
8,265000.0,2014,65952,CNG,Delhi,Home Test Drive,4400,Maruti Suzuki,Alto  ,
9,580000.0,2019,58702,Petrol,Delhi,Home Test Drive,9631,Maruti Suzuki,Swift  ,
10,525000.0,2019,44620,Petrol,Delhi,Home Test Drive,8718,Hyundai,Grand i10,1.2
11,825000.0,2017,41468,Petrol,Delhi,Home Test Drive,,Maruti Suzuki,Ciaz  ,1.4
12,2300000.0,2018,57948,Diesel,Delhi,Home Test Drive,38195,BMW,X1  ,
13,731000.0,2017,29370,Petrol,Delhi,Home Test Drive,12139,Honda,City  ,
14,760000.0,2020,4719,Petrol,Delhi,Home Test Drive,12621,Honda,Amaze  ,1.2
15,825000.0,2014,65949,Petrol,Delhi,Home Test Drive,13700,Toyota,Corolla Altis,1.8
16,1155000.0,2021,25523,CNG,Delhi,Home Test Drive,19180,Maruti Suzuki,Ertiga  ,
17,300000.0,2016,10600,Petrol,Delhi,No Tag,4982,Renault,Kwid  ,
18,595000.0,2019,40946,Petrol,Delhi,No Tag,9880,Volkswagen,Ameo  ,1.2
19,510000.0,2015,61053,Petrol,Delhi,Home Test Drive,8469,Maruti Suzuki,Baleno  ,1.2
20,1710000.0,2018,57962,Diesel,Delhi,Home Test Drive,28397,Toyota,Innova  ,
21,660000.0,2019,28003,Petrol,Delhi,Home Test Drive,10960,Honda,Amaze  ,1.2
22,535000.0,2017,52007,Diesel,Delhi,Home Test Drive,8884,Maruti Suzuki,Swift  ,
23,578000.0,2014,47565,Petrol,Delhi,Home Test Drive,9598,Honda,City  ,1.5
24,575000.0,2018,40028,Petrol,Delhi,Home Test Drive,9548,Maruti Suzuki,Baleno  ,1.2
25,495000.0,2018,59790,Petrol,Delhi,Home Test Drive,8220,Hyundai,Grand i10,1.2
26,775000.0,2018,55346,Diesel,Delhi,No Tag,,Ford,EcoSport  ,1.5
27,625000.0,2018,37002,Petrol,Delhi,Home Test Drive,10379,Hyundai,Elite i20,1.2
28,595000.0,2018,69205,Petrol,Noida,Home Test Drive,9880,Honda,Jazz  ,
29,1175000.0,2020,32576,Petrol,Delhi,Home Test Drive,19512,Maruti Suzuki,XL6  ,
30,625000.0,2016,61283,Petrol,Noida,No Tag,10379,Maruti Suzuki,Ciaz  ,
31,625000.0,2020,41785,Petrol,Noida,No Tag,10379,Tata,Tiago  ,
32,555000.0,2015,28875,Petrol,Noida,No Tag,9216,Honda,Mobilio  ,
33,935000.0,2017,68679,Petrol,Delhi,Home Test Drive,,Hyundai,Creta  ,1.6
34,500000.0,2019,11564,Petrol,Delhi,Home Test Drive,,Hyundai,Santro  ,
35,725000.0,2018,31747,Petrol,Delhi,Home Test Drive,12039,Honda,Amaze  ,1.2
36,535000.0,2015,34025,Petrol,Delhi,Home Test Drive,8884,Honda,Jazz  ,
37,2950000.0,2019,57602,Diesel,Delhi,Home Test Drive,48989,Ford,Endeavour  ,
38,595000.0,2015,75057,Petrol,Noida,No Tag,9880,Maruti Suzuki,Ciaz  ,
39,1290000.0,2021,6731,Petrol,Delhi,Home Test Drive,21422,Honda,City  ,
40,895000.0,2015,52000,Diesel,Delhi,No Tag,14862,Mahindra,XUV500  ,
41,795000.0,2021,9286,Petrol,Delhi,No Tag,13202,Tata,Altroz  ,
42,1025000.0,2020,15000,Petrol,Delhi,No Tag,17021,Maruti Suzuki,Ciaz  ,1.5
43,1525000.0,2021,12000,Petrol,Delhi,No Tag,25325,MG,Astor  ,1.5
44,770000.0,2022,3200,Petrol,Delhi,Home Test Drive,12787,Renault,Triber  ,
45,491000.0,2012,52000,Petrol,Delhi,Home Test Drive,,Honda,City  ,1.5
46,900000.0,2019,47000,Petrol,Delhi,Great Price,14946,Volkswagen,GTI  ,1.8
47,1875000.0,2018,70000,Diesel,Delhi,Home Test Drive,31137,Toyota,Innova  ,
48,13500000.0,2021,20000,Diesel,Delhi,Home Test Drive,,Mercedes-Benz,GLS  ,
49,2175000.0,2016,44000,Diesel,Delhi,Just Arrived,36119,BMW,3 Series,
50,1724000.0,2020,23000,Petrol,Delhi,Home Test Drive,28629,Kia,Seltos  ,1.4
51,675000.0,2018,67000,Diesel,Delhi,Home Test Drive,11209,Tata,Nexon  ,
52,699000.0,2017,15441,Petrol,Delhi,Home Test Drive,11608,Honda,Jazz  ,
53,13500000.0,2021,21000,Diesel,Delhi,Home Test Drive,,Mercedes-Benz,GLS  ,
54,1125000.0,2020,41716,Petrol,Delhi,Home Test Drive,18682,Honda,City  ,
55,1550000.0,2015,81000,Diesel,Delhi,Home Test Drive,25740,Audi,Q3  ,
56,390000.0,2014,74000,Petrol,Delhi,Home Test Drive,6476,Honda,Amaze  ,1.2
57,1390000.0,2018,99000,Diesel,Delhi,Home Test Drive,23083,Mahindra,XUV500  ,
58,13500000.0,2021,20500,Diesel,Delhi,Home Test Drive,,Mercedes-Benz,GLS  ,
59,995000.0,2017,29995,Diesel,Delhi,No Tag,16523,Hyundai,Verna  ,1.6
60,675000.0,2016,48000,Petrol,Delhi,No Tag,11209,Honda,City  ,
61,799000.0,2018,26000,Petrol,Delhi,Home Test Drive,13268,Honda,WR-V  ,
62,860000.0,2014,108000,Diesel,Delhi,Home Test Drive,14281,Toyota,Innova  ,
63,635000.0,2018,37000,Petrol,Delhi,Home Test Drive,10545,Maruti Suzuki,Baleno  ,1.2
64,1290000.0,2019,51000,Petrol,Delhi,Home Test Drive,21422,Hyundai,Creta  ,1.6
65,3099000.0,2018,25160,Diesel,Delhi,Home Test Drive,51464,Ford,Endeavour  ,
66,590000.0,2019,39000,Petrol,Delhi,Home Test Drive,9797,Maruti Suzuki,Wagon R,1.2
67,1579000.0,2015,73000,Diesel,Delhi,Home Test Drive,26221,Audi,Q3  ,2.0
68,1325000.0,2017,43000,Petrol,Delhi,Home Test Drive,22003,Skoda,Octavia  ,1.8
69,645000.0,2015,42000,Petrol,Delhi,No Tag,10711,Honda,City  ,
70,5990000.0,2020,40000,Diesel,Delhi,Home Test Drive,,Land,Rover  ,
71,469000.0,2015,69000,Petrol,Delhi,Home Test Drive,7788,Volkswagen,Polo  ,1.2
72,749000.0,2018,37000,Diesel,Delhi,No Tag,12438,Mahindra,TUV300  ,
73,665000.0,2016,68000,Petrol,Delhi,Home Test Drive,11043,Maruti Suzuki,Ciaz  ,
74,930000.0,2010,46000,Petrol,Delhi,Home Test Drive,,Mercedes-Benz,E-Class  ,
75,1190000.0,2014,61000,Diesel,Delhi,Home Test Drive,19761,Audi,A4  ,2.0
76,5300000.0,2022,45000,Petrol,Delhi,Home Test Drive,88015,Mercedes-Benz,GLC  ,
77,1240000.0,2018,49000,Petrol,Delhi,Home Test Drive,20592,Hyundai,Creta  ,1.6
78,4900000.0,2019,5100,Petrol,Delhi,Home Test Drive,,Audi,A3  ,
79,4900000.0,2019,5100,Petrol,Delhi,Home Test Drive,,Audi,A3  ,
80,1240000.0,2018,49000,Petrol,Delhi,Home Test Drive,20592,Hyundai,Creta  ,1.6
81,6000000.0,2020,41000,Diesel,Delhi,No Tag,,Land,Rover  ,
82,375000.0,2020,30000,Petrol,Noida,No Tag,6227,Maruti Suzuki,Alto  ,
83,5750000.0,2021,7000,Petrol,Delhi,Home Test Drive,95488,BMW,3 Series,
84,595000.0,2017,62000,Petrol,Delhi,Home Test Drive,9880,Honda,Jazz  ,
85,7100000.0,2022,6000,Diesel,Delhi,Home Test Drive,1.18 L,Mercedes-Benz,GLC  ,
86,5190000.0,2018,40000,Petrol,Delhi,Home Test Drive,,Mercedes-Benz,E-Class  ,
87,2999000.0,2018,55000,Diesel,Delhi,No Tag,49803,Ford,Endeavour  ,
88,570000.0,2017,53000,Diesel,Gurgaon,Great Price,9465,Maruti Suzuki,Ciaz  ,
89,220000.0,2013,82500,Petrol,Gurgaon,No Tag,3653,Hyundai,Eon  ,
90,585000.0,2015,74000,Petrol,Delhi,No Tag,9714,Maruti Suzuki,Ciaz  ,
91,2395000.0,2018,69000,Diesel,Delhi,Home Test Drive,39773,Audi,Q3  ,
92,570000.0,2018,73252,Diesel,Gurgaon,Great Price,9465,Maruti Suzuki,Dzire  ,
93,465000.0,2015,47000,Diesel,Delhi,Great Price,7722,Renault,Duster  ,
94,535000.0,2017,66500,Diesel,Delhi,Home Test Drive,8884,Ford,EcoSport  ,1.5
95,290000.0,2012,66920,Petrol,Delhi,Great Price,,Toyota,Etios  ,
96,277000.0,2016,57329,Petrol,Delhi,Home Test Drive,4600,Maruti Suzuki,Alto  ,
97,1100000.0,2017,14000,Diesel,Delhi,Home Test Drive,18267,Mahindra,Scorpio  ,
98,725000.0,2016,32809,Petrol,Delhi,Home Test Drive,12039,Honda,City  ,
99,830000.0,2015,58000,Petrol,Delhi,Home Test Drive,13783,Hyundai,Creta  ,1.6
100,495000.0,2015,61000,Petrol,Noida,No Tag,8220,Maruti Suzuki,Swift  ,
101,280000.0,2011,53000,Petrol,Delhi,Home Test Drive,,Toyota,Etios  ,
102,375000.0,2014,59623,Petrol,Delhi,Home Test Drive,6227,Honda,Amaze  ,1.2
103,210000.0,2010,50900,Petrol,Gurgaon,Great Price,,Hyundai,i20  ,1.2
104,574000.0,2015,85990,Petrol,Delhi,No Tag,9532,Maruti Suzuki,Ertiga  ,
105,660000.0,2017,76716,Diesel,Delhi,Home Test Drive,10960,Renault,Duster  ,
106,685000.0,2017,71797,Diesel,Delhi,Home Test Drive,11375,Maruti Suzuki,Ertiga  ,
107,490000.0,2020,46531,Petrol,Delhi,Home Test Drive,8137,Renault,Triber  ,
108,375000.0,2015,70685,Petrol,Delhi,No Tag,6227,Toyota,Etios  ,
109,370000.0,2019,56027,Petrol,Gurgaon,No Tag,6144,Maruti Suzuki,Alto  ,
110,490000.0,2014,69000,Petrol,Delhi,Home Test Drive,8137,Hyundai,i20  ,1.2
111,660000.0,2019,56000,Petrol,Delhi,Home Test Drive,10960,Honda,Amaze  ,1.2
112,1025000.0,2019,32000,Petrol,Delhi,Home Test Drive,17021,Honda,City  ,
113,1199000.0,2014,55000,Diesel,Delhi,Home Test Drive,19911,Audi,A4  ,2.0
114,430000.0,2015,78254,Diesel,Gurgaon,Great Price,7140,Nissan,Terrano  ,
115,990000.0,2022,29000,Diesel,Gurgaon,No Tag,16440,Tata,Nexon  ,
116,248000.0,2012,29854,Petrol,Delhi,Home Test Drive,,Honda,Brio  ,
117,470000.0,2018,70800,Petrol,Gurgaon,No Tag,7805,Toyota,Etios  ,
118,790000.0,2019,46000,Diesel,Delhi,No Tag,13119,Maruti Suzuki,Vitara Brezza,
119,950000.0,2011,78000,Petrol,Delhi,Home Test Drive,,Mercedes-Benz,C-Class  ,
120,799000.0,2018,56410,Diesel,Delhi,Home Test Drive,13268,Ford,EcoSport  ,1.5
121,400000.0,2017,18000,Petrol,Delhi,Home Test Drive,6642,Maruti Suzuki,Wagon R,1.0
122,385000.0,2016,51000,CNG,Noida,No Tag,6393,Maruti Suzuki,Wagon R,1.0
123,4500000.0,2019,34000,Diesel,Delhi,Home Test Drive,74730,BMW,5 Series,
124,269000.0,2012,81963,Petrol,Gurgaon,No Tag,,Honda,Brio  ,
125,890000.0,2016,48657,Petrol,Delhi,No Tag,14779,Hyundai,Creta  ,1.6
126,1875000.0,2020,27000,Petrol,Delhi,Home Test Drive,31137,MG,Hector  ,1.5
127,270000.0,2011,68000,Petrol,Delhi,Home Test Drive,,Honda,Brio  ,
128,285000.0,2012,72000,Petrol,Delhi,Home Test Drive,,Honda,Brio  ,
129,6050000.0,2020,40500,Diesel,Delhi,Home Test Drive,,Land,Rover  ,
130,9900000.0,2019,11000,Petrol,Delhi,Home Test Drive,,Porsche,718  ,
131,175000.0,2012,63250,Petrol,Delhi,Great Price,,Maruti Suzuki,Alto  ,
132,1070000.0,2020,45550,Petrol,Gurgaon,No Tag,17769,Honda,City  ,
133,1860000.0,2018,72000,Diesel,Delhi,No Tag,30888,Volvo,S60  ,
134,2545000.0,2021,16000,Petrol,Delhi,Home Test Drive,42264,Jeep,Compass 80,1.4
135,245000.0,2008,63000,Petrol,Delhi,Home Test Drive,,Toyota,Corolla Altis,1.8
136,1990000.0,2015,69000,Diesel,Delhi,Great Price,33047,BMW,5 Series,
137,1680000.0,2019,20000,Petrol,Delhi,Home Test Drive,27899,Jeep,Compass Longitude,1.4
138,1750000.0,2021,29000,Petrol,Delhi,Home Test Drive,29061,MG,Hector  ,1.5
139,1570000.0,2021,12000,Petrol,Delhi,Home Test Drive,26072,Hyundai,Creta  ,1.5
140,4900000.0,2019,4900,Petrol,Delhi,Home Test Drive,,Audi,A3  ,
141,350000.0,2013,52555,Petrol,Delhi,No Tag,,Toyota,Etios  ,
142,1450000.0,2015,47000,Diesel,Delhi,No Tag,24079,Audi,A3  ,
143,770000.0,2022,5000,Petrol,Delhi,No Tag,12787,Tata,Tiago  ,
144,982000.0,2016,68000,Petrol,Delhi,No Tag,16307,Toyota,Corolla Altis,
145,5190000.0,2018,41000,Petrol,Delhi,No Tag,,Mercedes-Benz,E-Class  ,
146,689000.0,2018,70000,Petrol,Delhi,Home Test Drive,11442,Renault,Duster  ,
147,625000.0,2021,35000,CNG,Noida,No Tag,10379,Maruti Suzuki,Wagon R,1.0
148,865000.0,2018,49000,Petrol,Noida,No Tag,14364,Honda,City  ,
149,435000.0,2010,77000,Petrol,Delhi,Home Test Drive,,Honda,Accord  ,
150,585000.0,2019,56000,CNG,Noida,No Tag,9714,Maruti Suzuki,Wagon R,1.0
151,249000.0,2014,67000,CNG,Delhi,Home Test Drive,4135,Maruti Suzuki,Estilo  ,
152,395000.0,2015,56000,Petrol,Noida,No Tag,6559,Maruti Suzuki,Celerio  ,
153,299000.0,2012,34000,Petrol,Noida,No Tag,,Honda,Brio  ,
154,465000.0,2016,50787,Petrol + 1,Delhi,Home Test Drive,7722,Hyundai,Grand i10,1.2
155,2150000.0,2015,95000,Diesel,Delhi,Home Test Drive,35704,BMW,5 Series,
156,585000.0,2015,62000,Petrol,Noida,No Tag,9714,Maruti Suzuki,Ciaz  ,
157,495000.0,2015,80000,Petrol,Noida,No Tag,8220,Hyundai,Elite i20,1.2
158,295000.0,2018,36000,Petrol,Noida,No Tag,4898,Maruti Suzuki,Alto  ,
159,430000.0,2013,58000,Petrol,Delhi,Home Test Drive,7140,Ford,EcoSport  ,1.0
160,695000.0,2018,56000,Petrol,Delhi,Home Test Drive,11541,Tata,Nexon  ,
161,755000.0,2017,34000,Petrol,Noida,No Tag,12538,Tata,Nexon  ,
162,395000.0,2014,62000,Petrol,Noida,No Tag,6559,Hyundai,Xcent  ,1.2
163,381000.0,2013,34000,Petrol,Delhi,Home Test Drive,6327,Honda,Amaze  ,1.2
164,275000.0,2014,62000,Petrol,Delhi,Home Test Drive,4566,Hyundai,i10  ,1.2
165,565000.0,2017,66000,Petrol,Noida,No Tag,9382,Maruti Suzuki,Baleno  ,1.2
166,535000.0,2017,65000,Petrol,Noida,No Tag,8884,Ford,Aspire  ,1.2
