,name,price,year,kms,fuel,city,homedrive,emi
0,Maruti Suzuki Baleno Delta 1.2,₹ 4.76 Lakh,2016,"79,710 km",Petrol,Delhi,,"EMI starts at₹7,904"
1,Hyundai Verna Fluidic 1.6 VTVT SX,₹ 5.6 Lakh,2014,"67,000 km",Petrol,Delhi,Home Test Drive,"EMI starts at₹9,299"
2,Maruti Suzuki Vitara Brezza ZDi,₹ 6.7 Lakh,2017,"78,184 km",Diesel,Delhi,Home Test Drive,"EMI starts at₹11,126"
3,MG Hector Sharp 1.5 DCT Petrol [2019-2020],₹ 17.9 Lakh,2019,"42,046 km",Petrol,Gurgaon,,
4,Maruti Suzuki Wagon R 1.0 LXI CNG,₹ 3.15 Lakh,2015,"67,738 km",CNG,Delhi,Great Price,"EMI starts at₹5,231"
5,BMW 3 Series GT 320d Luxury Line [2014-2016],₹ 35 Lakh,2019,"42,500 km",Diesel,Delhi,,"EMI starts at₹58,123"
6,Toyota Innova Crysta ZX 2.4 AT 7 STR,₹ 30.25 Lakh,2022,"10,000 km",Diesel,Delhi,,"EMI starts at₹50,235"
7,Volvo S90 D4 Inscription,₹ 47.4 Lakh,2020,"33,000 km",Diesel,Delhi,Home Test Drive,"EMI starts at₹78,715"
8,Maruti Suzuki Alto 800 Lxi CNG,₹ 2.65 Lakh,2014,"65,952 km",CNG,Delhi,Home Test Drive,"EMI starts at₹4,400"
9,Maruti Suzuki Swift VXi [2014-2017],₹ 5.8 Lakh,2019,"58,702 km",Petrol,Delhi,Home Test Drive,"EMI starts at₹9,631"
10,Hyundai Grand i10 Sportz 1.2 Kappa VTVT [2016-2017],₹ 5.25 Lakh,2019,"44,620 km",Petrol,Delhi,Home Test Drive,"EMI starts at₹8,718"
11,Maruti Suzuki Ciaz Zeta 1.4 AT,₹ 8.25 Lakh,2017,"41,468 km",Petrol,Delhi,Home Test Drive,
12,BMW X1 sDrive20d xLine,₹ 23 Lakh,2018,"57,948 km",Diesel,Delhi,Home Test Drive,"EMI starts at₹38,195"
13,Honda City S Petrol,₹ 7.31 Lakh,2017,"29,370 km",Petrol,Delhi,Home Test Drive,"EMI starts at₹12,139"
14,Honda Amaze 1.2 S AT i-VTEC Opt,₹ 7.6 Lakh,2020,"4,719 km",Petrol,Delhi,Home Test Drive,"EMI starts at₹12,621"
15,Toyota Corolla Altis 1.8 VL AT,₹ 8.25 Lakh,2014,"65,949 km",Petrol,Delhi,Home Test Drive,"EMI starts at₹13,700"
16,Maruti Suzuki Ertiga VXI CNG,₹ 11.55 Lakh,2021,"25,523 km",CNG,Delhi,Home Test Drive,"EMI starts at₹19,180"
17,Renault Kwid RXT [2015-2019],₹ 3 Lakh,2016,"10,600 km",Petrol,Delhi,,"EMI starts at₹4,982"
18,Volkswagen Ameo Highline1.2L Plus (P) 16 Alloy [2017-2018],₹ 5.95 Lakh,2019,"40,946 km",Petrol,Delhi,,"EMI starts at₹9,880"
19,Maruti Suzuki Baleno Delta 1.2,₹ 5.1 Lakh,2015,"61,053 km",Petrol,Delhi,Home Test Drive,"EMI starts at₹8,469"
20,Toyota Innova Crysta 2.4 ZX 7 STR [2016-2020],₹ 17.1 Lakh,2018,"57,962 km",Diesel,Delhi,Home Test Drive,"EMI starts at₹28,397"
21,Honda Amaze 1.2 S i-VTEC,₹ 6.6 Lakh,2019,"28,003 km",Petrol,Delhi,Home Test Drive,"EMI starts at₹10,960"
22,Maruti Suzuki Swift VDi,₹ 5.35 Lakh,2017,"52,007 km",Diesel,Delhi,Home Test Drive,"EMI starts at₹8,884"
23,Honda City 1.5 V MT,₹ 5.78 Lakh,2014,"47,565 km",Petrol,Delhi,Home Test Drive,"EMI starts at₹9,598"
24,Maruti Suzuki Baleno Delta 1.2,₹ 5.75 Lakh,2018,"40,028 km",Petrol,Delhi,Home Test Drive,"EMI starts at₹9,548"
25,Hyundai Grand i10 Sportz (O) 1.2 Kappa VTVT [2017-2018],₹ 4.95 Lakh,2018,"59,790 km",Petrol,Delhi,Home Test Drive,"EMI starts at₹8,220"
26,Ford EcoSport Titanium 1.5L TDCi,₹ 7.75 Lakh,2018,"55,346 km",Diesel,Delhi,,
27,Hyundai Elite i20 Sportz 1.2,₹ 6.25 Lakh,2018,"37,002 km",Petrol,Delhi,Home Test Drive,"EMI starts at₹10,379"
28,Honda Jazz VX Petrol,₹ 5.95 Lakh,2018,"69,205 km",Petrol,Noida,Home Test Drive,"EMI starts at₹9,880"
29,Maruti Suzuki XL6 Alpha AT Petrol,₹ 11.75 Lakh,2020,"32,576 km",Petrol,Delhi,Home Test Drive,"EMI starts at₹19,512"
30,Maruti Suzuki Ciaz VXi,₹ 6.25 Lakh,2016,"61,283 km",Petrol,Noida,,"EMI starts at₹10,379"
31,Tata Tiago XZ Plus,₹ 6.25 Lakh,2020,"41,785 km",Petrol,Noida,,"EMI starts at₹10,379"
32,Honda Mobilio S Petrol,₹ 5.55 Lakh,2015,"28,875 km",Petrol,Noida,,"EMI starts at₹9,216"
33,Hyundai Creta SX Plus 1.6  Petrol,₹ 9.35 Lakh,2017,"68,679 km",Petrol,Delhi,Home Test Drive,
34,Hyundai Santro Sportz [2018-2020],₹ 5 Lakh,2019,"11,564 km",Petrol,Delhi,Home Test Drive,
35,Honda Amaze 1.2 V CVT Petrol [2018-2020],₹ 7.25 Lakh,2018,"31,747 km",Petrol,Delhi,Home Test Drive,"EMI starts at₹12,039"
36,Honda Jazz V Petrol,₹ 5.35 Lakh,2015,"34,025 km",Petrol,Delhi,Home Test Drive,"EMI starts at₹8,884"
37,Ford Endeavour Titanium Plus 3.2 4x4 AT,₹ 29.5 Lakh,2019,"57,602 km",Diesel,Delhi,Home Test Drive,"EMI starts at₹48,989"
38,Maruti Suzuki Ciaz VXi+,₹ 5.95 Lakh,2015,"75,057 km",Petrol,Noida,,"EMI starts at₹9,880"
39,Honda City VX,₹ 12.9 Lakh,2021,"6,731 km",Petrol,Delhi,Home Test Drive,"EMI starts at₹21,422"
40,Mahindra XUV500 W10 1.99,₹ 8.95 Lakh,2015,"52,000 km",Diesel,Delhi,,"EMI starts at₹14,862"
41,Tata Altroz XZ Plus i-Turbo Petrol Dark Edition,₹ 7.95 Lakh,2021,"9,286 km",Petrol,Delhi,,"EMI starts at₹13,202"
42,Maruti Suzuki Ciaz Alpha Hybrid 1.5 AT [2018-2020],₹ 10.25 Lakh,2020,"15,000 km",Petrol,Delhi,,"EMI starts at₹17,021"
43,MG Astor Savvy 1.5 CVT S Red,₹ 15.25 Lakh,2021,"12,000 km",Petrol,Delhi,,"EMI starts at₹25,325"
44,Renault Triber RXT [2019-2020],₹ 7.7 Lakh,2022,"3,200 km",Petrol,Delhi,Home Test Drive,"EMI starts at₹12,787"
45,Honda City 1.5 V MT Sunroof,₹ 4.91 Lakh,2012,"52,000 km",Petrol,Delhi,Home Test Drive,
46,Volkswagen GTI 1.8 TSI,₹ 9 Lakh,2019,"47,000 km",Petrol,Delhi,Great Price,"EMI starts at₹14,946"
47,Toyota Innova Crysta 2.8 ZX AT 7 STR [2016-2020],₹ 18.75 Lakh,2018,"70,000 km",Diesel,Delhi,Home Test Drive,"EMI starts at₹31,137"
48,Mercedes-Benz GLS 400d 4MATIC,₹ 1.35 Crore,2021,"20,000 km",Diesel,Delhi,Home Test Drive,
49,BMW 3 Series GT 320d Luxury Line [2014-2016],₹ 21.75 Lakh,2016,"44,000 km",Diesel,Delhi,Just Arrived,"EMI starts at₹36,119"
50,Kia Seltos GTX Plus 1.4 DCT,₹ 17.24 Lakh,2020,"23,000 km",Petrol,Delhi,Home Test Drive,"EMI starts at₹28,629"
51,Tata Nexon XM Diesel,₹ 6.75 Lakh,2018,"67,000 km",Diesel,Delhi,Home Test Drive,"EMI starts at₹11,209"
52,Honda Jazz V AT Petrol,₹ 6.99 Lakh,2017,"15,441 km",Petrol,Delhi,Home Test Drive,"EMI starts at₹11,608"
53,Mercedes-Benz GLS 400d 4MATIC,₹ 1.35 Crore,2021,"21,000 km",Diesel,Delhi,Home Test Drive,
54,Honda City VX CVT,₹ 11.25 Lakh,2020,"41,716 km",Petrol,Delhi,Home Test Drive,"EMI starts at₹18,682"
55,Audi Q3 35 TDI Premium Plus,₹ 15.5 Lakh,2015,"81,000 km",Diesel,Delhi,Home Test Drive,"EMI starts at₹25,740"
56,Honda Amaze 1.2 S i-VTEC,₹ 3.9 Lakh,2014,"74,000 km",Petrol,Delhi,Home Test Drive,"EMI starts at₹6,476"
57,Mahindra XUV500 W11 (O) AWD AT,₹ 13.9 Lakh,2018,"99,000 km",Diesel,Delhi,Home Test Drive,"EMI starts at₹23,083"
58,Mercedes-Benz GLS 400d 4MATIC,₹ 1.35 Crore,2021,"20,500 km",Diesel,Delhi,Home Test Drive,
59,Hyundai Verna SX Plus 1.6 CRDi AT,₹ 9.95 Lakh,2017,"29,995 km",Diesel,Delhi,,"EMI starts at₹16,523"
60,Honda City V,₹ 6.75 Lakh,2016,"48,000 km",Petrol,Delhi,,"EMI starts at₹11,209"
61,Honda WR-V VX MT Petrol,₹ 7.99 Lakh,2018,"26,000 km",Petrol,Delhi,Home Test Drive,"EMI starts at₹13,268"
62,Toyota Innova 2.5 VX 7 STR BS-III,₹ 8.6 Lakh,2014,"1,08,000 km",Diesel,Delhi,Home Test Drive,"EMI starts at₹14,281"
63,Maruti Suzuki Baleno Delta 1.2,₹ 6.35 Lakh,2018,"37,000 km",Petrol,Delhi,Home Test Drive,"EMI starts at₹10,545"
64,Hyundai Creta SX 1.6 AT Petrol,₹ 12.9 Lakh,2019,"51,000 km",Petrol,Delhi,Home Test Drive,"EMI starts at₹21,422"
65,Ford Endeavour Titanium 3.2 4x4 AT,₹ 30.99 Lakh,2018,"25,160 km",Diesel,Delhi,Home Test Drive,"EMI starts at₹51,464"
66,Maruti Suzuki Wagon R ZXi 1.2 AMT,₹ 5.9 Lakh,2019,"39,000 km",Petrol,Delhi,Home Test Drive,"EMI starts at₹9,797"
67,Audi Q3 2.0 TDI quattro Premium Plus,₹ 15.79 Lakh,2015,"73,000 km",Diesel,Delhi,Home Test Drive,"EMI starts at₹26,221"
68,Skoda Octavia 1.8 TSI Style Plus AT [2017],₹ 13.25 Lakh,2017,"43,000 km",Petrol,Delhi,Home Test Drive,"EMI starts at₹22,003"
69,Honda City V,₹ 6.45 Lakh,2015,"42,000 km",Petrol,Delhi,,"EMI starts at₹10,711"
70,Land Rover Discovery Sport HSE 7-Seater,₹ 59.9 Lakh,2020,"40,000 km",Diesel,Delhi,Home Test Drive,
71,Volkswagen Polo Highline1.2L (P),₹ 4.69 Lakh,2015,"69,000 km",Petrol,Delhi,Home Test Drive,"EMI starts at₹7,788"
72,Mahindra TUV300 T8,₹ 7.49 Lakh,2018,"37,000 km",Diesel,Delhi,,"EMI starts at₹12,438"
73,Maruti Suzuki Ciaz ZXI+,₹ 6.65 Lakh,2016,"68,000 km",Petrol,Delhi,Home Test Drive,"EMI starts at₹11,043"
74,Mercedes-Benz E-Class E250 Elegance,₹ 9.3 Lakh,2010,"46,000 km",Petrol,Delhi,Home Test Drive,
75,Audi A4 2.0 TDI (143bhp),₹ 11.9 Lakh,2014,"61,000 km",Diesel,Delhi,Home Test Drive,"EMI starts at₹19,761"
76,Mercedes-Benz GLC 200 Progressive,₹ 53 Lakh,2022,"45,000 km",Petrol,Delhi,Home Test Drive,"EMI starts at₹88,015"
77,Hyundai Creta 1.6 SX Plus AT Petrol,₹ 12.4 Lakh,2018,"49,000 km",Petrol,Delhi,Home Test Drive,"EMI starts at₹20,592"
78,Audi A3 Cabriolet 35 TFSI,₹ 49 Lakh,2019,"5,100 km",Petrol,Delhi,Home Test Drive,
79,Audi A3 Cabriolet 35 TFSI,₹ 49 Lakh,2019,"5,100 km",Petrol,Delhi,Home Test Drive,
80,Hyundai Creta 1.6 SX Plus AT Petrol,₹ 12.4 Lakh,2018,"49,000 km",Petrol,Delhi,Home Test Drive,"EMI starts at₹20,592"
81,Land Rover Discovery Sport HSE 7-Seater,₹ 60 Lakh,2020,"41,000 km",Diesel,Delhi,,
82,Maruti Suzuki Alto 800 LXi (O),₹ 3.75 Lakh,2020,"30,000 km",Petrol,Noida,,"EMI starts at₹6,227"
83,BMW 3 Series 330i M Sport Edition,₹ 57.5 Lakh,2021,"7,000 km",Petrol,Delhi,Home Test Drive,"EMI starts at₹95,488"
84,Honda Jazz V AT Petrol,₹ 5.95 Lakh,2017,"62,000 km",Petrol,Delhi,Home Test Drive,"EMI starts at₹9,880"
85,Mercedes-Benz GLC 220d 4MATIC Progressive,₹ 71 Lakh,2022,"6,000 km",Diesel,Delhi,Home Test Drive,EMI starts at₹1.18 L
86,Mercedes-Benz E-Class E 200,₹ 51.9 Lakh,2018,"40,000 km",Petrol,Delhi,Home Test Drive,
87,Ford Endeavour Titanium 3.2 4x4 AT,₹ 29.99 Lakh,2018,"55,000 km",Diesel,Delhi,,"EMI starts at₹49,803"
88,Maruti Suzuki Ciaz VDi+ SHVS,₹ 5.7 Lakh,2017,"53,000 km",Diesel,Gurgaon,Great Price,"EMI starts at₹9,465"
89,Hyundai Eon Sportz,₹ 2.2 Lakh,2013,"82,500 km",Petrol,Gurgaon,,"EMI starts at₹3,653"
90,Maruti Suzuki Ciaz ZXi  AT,₹ 5.85 Lakh,2015,"74,000 km",Petrol,Delhi,,"EMI starts at₹9,714"
91,Audi Q3 35 TDI quattro Premium Plus,₹ 23.95 Lakh,2018,"69,000 km",Diesel,Delhi,Home Test Drive,"EMI starts at₹39,773"
92,Maruti Suzuki Dzire VDi AMT,₹ 5.7 Lakh,2018,"73,252 km",Diesel,Gurgaon,Great Price,"EMI starts at₹9,465"
93,Renault Duster 85 PS RxE Diesel,₹ 4.65 Lakh,2015,"47,000 km",Diesel,Delhi,Great Price,"EMI starts at₹7,722"
94,Ford EcoSport Ambiente 1.5L TDCi,₹ 5.35 Lakh,2017,"66,500 km",Diesel,Delhi,Home Test Drive,"EMI starts at₹8,884"
95,Toyota Etios G,₹ 2.9 Lakh,2012,"66,920 km",Petrol,Delhi,Great Price,
96,Maruti Suzuki Alto K10 LXi [2014-2019],₹ 2.77 Lakh,2016,"57,329 km",Petrol,Delhi,Home Test Drive,"EMI starts at₹4,600"
97,Mahindra Scorpio S6 Plus 1.99 [2016-2017],₹ 11 Lakh,2017,"14,000 km",Diesel,Delhi,Home Test Drive,"EMI starts at₹18,267"
98,Honda City V,₹ 7.25 Lakh,2016,"32,809 km",Petrol,Delhi,Home Test Drive,"EMI starts at₹12,039"
99,Hyundai Creta SX Plus 1.6  Petrol,₹ 8.3 Lakh,2015,"58,000 km",Petrol,Delhi,Home Test Drive,"EMI starts at₹13,783"
100,Maruti Suzuki Swift Dzire VXI AT,₹ 4.95 Lakh,2015,"61,000 km",Petrol,Noida,,"EMI starts at₹8,220"
101,Toyota Etios G,₹ 2.8 Lakh,2011,"53,000 km",Petrol,Delhi,Home Test Drive,
102,Honda Amaze 1.2 VX i-VTEC,₹ 3.75 Lakh,2014,"59,623 km",Petrol,Delhi,Home Test Drive,"EMI starts at₹6,227"
103,Hyundai i20 Magna 1.2,₹ 2.1 Lakh,2010,"50,900 km",Petrol,Gurgaon,Great Price,
104,Maruti Suzuki Ertiga Vxi,₹ 5.74 Lakh,2015,"85,990 km",Petrol,Delhi,,"EMI starts at₹9,532"
105,Renault Duster 110 PS RXL 4X2 AMT [2016-2017],₹ 6.6 Lakh,2017,"76,716 km",Diesel,Delhi,Home Test Drive,"EMI starts at₹10,960"
106,Maruti Suzuki Ertiga VDI SHVS,₹ 6.85 Lakh,2017,"71,797 km",Diesel,Delhi,Home Test Drive,"EMI starts at₹11,375"
107,Renault Triber RXL [2019-2020],₹ 4.9 Lakh,2020,"46,531 km",Petrol,Delhi,Home Test Drive,"EMI starts at₹8,137"
108,Toyota Etios Liva G,₹ 3.75 Lakh,2015,"70,685 km",Petrol,Delhi,,"EMI starts at₹6,227"
109,Maruti Suzuki Alto K10 LXi,₹ 3.7 Lakh,2019,"56,027 km",Petrol,Gurgaon,,"EMI starts at₹6,144"
110,Hyundai i20 Asta 1.2,₹ 4.9 Lakh,2014,"69,000 km",Petrol,Delhi,Home Test Drive,"EMI starts at₹8,137"
111,Honda Amaze 1.2 VX MT Petrol [2018-2020],₹ 6.6 Lakh,2019,"56,000 km",Petrol,Delhi,Home Test Drive,"EMI starts at₹10,960"
112,Honda City VX CVT,₹ 10.25 Lakh,2019,"32,000 km",Petrol,Delhi,Home Test Drive,"EMI starts at₹17,021"
113,Audi A4 2.0 TDI (177bhp) Premium Plus,₹ 11.99 Lakh,2014,"55,000 km",Diesel,Delhi,Home Test Drive,"EMI starts at₹19,911"
114,Nissan Terrano XL D THP 110 PS,₹ 4.3 Lakh,2015,"78,254 km",Diesel,Gurgaon,Great Price,"EMI starts at₹7,140"
115,Tata Nexon XM Diesel,₹ 9.9 Lakh,2022,"29,000 km",Diesel,Gurgaon,,"EMI starts at₹16,440"
116,Honda Brio E MT,₹ 2.48 Lakh,2012,"29,854 km",Petrol,Delhi,Home Test Drive,
117,Toyota Etios Liva V,₹ 4.7 Lakh,2018,"70,800 km",Petrol,Gurgaon,,"EMI starts at₹7,805"
118,Maruti Suzuki Vitara Brezza VDi,₹ 7.9 Lakh,2019,"46,000 km",Diesel,Delhi,,"EMI starts at₹13,119"
119,Mercedes-Benz C-Class 200 CGI Avantgarde,₹ 9.5 Lakh,2011,"78,000 km",Petrol,Delhi,Home Test Drive,
120,Ford EcoSport Titanium 1.5L TDCi,₹ 7.99 Lakh,2018,"56,410 km",Diesel,Delhi,Home Test Drive,"EMI starts at₹13,268"
121,Maruti Suzuki Wagon R 1.0 LXI,₹ 4 Lakh,2017,"18,000 km",Petrol,Delhi,Home Test Drive,"EMI starts at₹6,642"
122,Maruti Suzuki Wagon R 1.0 LXI CNG,₹ 3.85 Lakh,2016,"51,000 km",CNG,Noida,,"EMI starts at₹6,393"
123,BMW 5 Series 520d Luxury Line [2017-2019],₹ 45 Lakh,2019,"34,000 km",Diesel,Delhi,Home Test Drive,"EMI starts at₹74,730"
124,Honda Brio EX MT,₹ 2.69 Lakh,2012,"81,963 km",Petrol,Gurgaon,,
125,Hyundai Creta 1.6 SX Plus AT Petrol,₹ 8.9 Lakh,2016,"48,657 km",Petrol,Delhi,,"EMI starts at₹14,779"
126,MG Hector Plus Sharp 1.5 DCT Petrol,₹ 18.75 Lakh,2020,"27,000 km",Petrol,Delhi,Home Test Drive,"EMI starts at₹31,137"
127,Honda Brio S(O)MT,₹ 2.7 Lakh,2011,"68,000 km",Petrol,Delhi,Home Test Drive,
128,Honda Brio V MT,₹ 2.85 Lakh,2012,"72,000 km",Petrol,Delhi,Home Test Drive,
129,Land Rover Discovery Sport HSE 7-Seater,₹ 60.5 Lakh,2020,"40,500 km",Diesel,Delhi,Home Test Drive,
130,Porsche 718 Boxster,₹ 99 Lakh,2019,"11,000 km",Petrol,Delhi,Home Test Drive,
131,Maruti Suzuki Alto K10 VXi,₹ 1.75 Lakh,2012,"63,250 km",Petrol,Delhi,Great Price,
132,Honda City VX CVT,₹ 10.7 Lakh,2020,"45,550 km",Petrol,Gurgaon,,"EMI starts at₹17,769"
133,Volvo S60 D4 R,₹ 18.6 Lakh,2018,"72,000 km",Diesel,Delhi,,"EMI starts at₹30,888"
134,Jeep Compass 80 Anniversary 1.4 Petrol DCT,₹ 25.45 Lakh,2021,"16,000 km",Petrol,Delhi,Home Test Drive,"EMI starts at₹42,264"
135,Toyota Corolla Altis 1.8 G,₹ 2.45 Lakh,2008,"63,000 km",Petrol,Delhi,Home Test Drive,
136,BMW 5 Series 520d Luxury Line [2017-2019],₹ 19.9 Lakh,2015,"69,000 km",Diesel,Delhi,Great Price,"EMI starts at₹33,047"
137,Jeep Compass Longitude (O) 1.4 Petrol AT [2019-2020],₹ 16.8 Lakh,2019,"20,000 km",Petrol,Delhi,Home Test Drive,"EMI starts at₹27,899"
138,MG Hector Plus Sharp 1.5 Petrol Turbo DCT 6-STR,₹ 17.5 Lakh,2021,"29,000 km",Petrol,Delhi,Home Test Drive,"EMI starts at₹29,061"
139,Hyundai Creta SX 1.5 Petrol [2020-2022],₹ 15.7 Lakh,2021,"12,000 km",Petrol,Delhi,Home Test Drive,"EMI starts at₹26,072"
140,Audi A3 Cabriolet 35 TFSI,₹ 49 Lakh,2019,"4,900 km",Petrol,Delhi,Home Test Drive,
141,Toyota Etios Liva VX,₹ 3.5 Lakh,2013,"52,555 km",Petrol,Delhi,,
142,Audi A3 35 TDI Premium Plus + Sunroof,₹ 14.5 Lakh,2015,"47,000 km",Diesel,Delhi,,"EMI starts at₹24,079"
143,Tata Tiago XZA Plus,₹ 7.7 Lakh,2022,"5,000 km",Petrol,Delhi,,"EMI starts at₹12,787"
144,Toyota Corolla Altis VL AT Petrol,₹ 9.82 Lakh,2016,"68,000 km",Petrol,Delhi,,"EMI starts at₹16,307"
145,Mercedes-Benz E-Class E 200,₹ 51.9 Lakh,2018,"41,000 km",Petrol,Delhi,,
146,Renault Duster RxL Petrol,₹ 6.89 Lakh,2018,"70,000 km",Petrol,Delhi,Home Test Drive,"EMI starts at₹11,442"
147,Maruti Suzuki Wagon R LXi 1.0 CNG,₹ 6.25 Lakh,2021,"35,000 km",CNG,Noida,,"EMI starts at₹10,379"
148,Honda City V,₹ 8.65 Lakh,2018,"49,000 km",Petrol,Noida,,"EMI starts at₹14,364"
149,Honda Accord 2.4 AT,₹ 4.35 Lakh,2010,"77,000 km",Petrol,Delhi,Home Test Drive,
150,Maruti Suzuki Wagon R LXi 1.0 CNG [2019-2020],₹ 5.85 Lakh,2019,"56,000 km",CNG,Noida,,"EMI starts at₹9,714"
151,Maruti Suzuki Estilo LXi CNG BS-IV,₹ 2.49 Lakh,2014,"67,000 km",CNG,Delhi,Home Test Drive,"EMI starts at₹4,135"
152,Maruti Suzuki Celerio VXi,₹ 3.95 Lakh,2015,"56,000 km",Petrol,Noida,,"EMI starts at₹6,559"
153,Honda Brio V MT,₹ 2.99 Lakh,2012,"34,000 km",Petrol,Noida,,
154,Hyundai Grand i10 Sports Edition 1.2L Kappa VTVT,₹ 4.65 Lakh,2016,"50,787 km",Petrol + 1,Delhi,Home Test Drive,"EMI starts at₹7,722"
155,BMW 5 Series 520d Luxury Line,₹ 21.5 Lakh,2015,"95,000 km",Diesel,Delhi,Home Test Drive,"EMI starts at₹35,704"
156,Maruti Suzuki Ciaz VXi,₹ 5.85 Lakh,2015,"62,000 km",Petrol,Noida,,"EMI starts at₹9,714"
157,Hyundai Elite i20 Sportz 1.2,₹ 4.95 Lakh,2015,"80,000 km",Petrol,Noida,,"EMI starts at₹8,220"
158,Maruti Suzuki Alto 800 Lxi,₹ 2.95 Lakh,2018,"36,000 km",Petrol,Noida,,"EMI starts at₹4,898"
159,Ford EcoSport Titanium 1.0 Ecoboost,₹ 4.3 Lakh,2013,"58,000 km",Petrol,Delhi,Home Test Drive,"EMI starts at₹7,140"
160,Tata Nexon XT [2017-2019],₹ 6.95 Lakh,2018,"56,000 km",Petrol,Delhi,Home Test Drive,"EMI starts at₹11,541"
161,Tata Nexon XZ Plus,₹ 7.55 Lakh,2017,"34,000 km",Petrol,Noida,,"EMI starts at₹12,538"
162,Hyundai Xcent S 1.2,₹ 3.95 Lakh,2014,"62,000 km",Petrol,Noida,,"EMI starts at₹6,559"
163,Honda Amaze 1.2 S AT i-VTEC,₹ 3.81 Lakh,2013,"34,000 km",Petrol,Delhi,Home Test Drive,"EMI starts at₹6,327"
